"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"015-scheduler-kpis","sgbd","changelog/015-scheduler-kpis.xml","2025-09-05T22:54:27.516","28","EXECUTED","9:e370a3439cb99863064f074eec7fbd30","sqlFile path=../../ddl/15_scheduler_kpis.sql","","","4.33.0","()","","7112863053"
"016-export-procs","sgbd","changelog/016-export-procs.xml","2025-09-05T22:54:27.565","29","EXECUTED","9:f72df29a67515064b5b976937c0c2fee","sqlFile path=../../ddl/13b_export_procs.sql","","","4.33.0","()","","7112863053"
"017a-view-kpi-ventas-diarias","sgbd","changelog/017-views-kpi.xml","2025-09-05T22:54:27.61","30","EXECUTED","9:daa45a59521d12ee3eb1476b31eae924","sqlFile path=../../ddl/17a_view_kpi_ventas_diarias.sql","","","4.33.0","!admin","","7112863053"
"017b-view-kpi-ventas-por-producto","sgbd","changelog/017-views-kpi.xml","2025-09-05T22:54:27.657","31","EXECUTED","9:3e6b2f5b00be4b390d7955ee31ca17d0","sqlFile path=../../ddl/17b_view_kpi_ventas_por_producto.sql","","","4.33.0","!admin","","7112863053"
"017c-view-kpi-vpp-create-if-mv","sgbd","changelog/017-views-kpi.xml","2025-09-05T22:54:27.675","32","EXECUTED","9:ee70f7464ccdbf0eb8498168bdcce0f1","sql","","","4.33.0","!admin","","7112863053"
"018-scheduler-export","sgbd","changelog/018-scheduler-export.xml","2025-09-05T22:54:27.72","33","EXECUTED","9:b6588fcd5a516aa294a55b1e1947bfab","sqlFile path=../../ddl/18_scheduler_export.sql","","","4.33.0","()","","7112863053"
"019-indexes-perf","sgbd","changelog/019-indexes-perf.xml","2025-09-05T22:54:27.765","34","EXECUTED","9:1bcc51fbef7064eb5fa967fd43fd181a","sqlFile path=../../ddl/19_indexes_perf.sql","","","4.33.0","()","","7112863053"
"020-monitoring","sgbd","changelog/020-monitoring.xml","2025-09-05T22:54:27.812","35","EXECUTED","9:f8c1388d3ed856e0fefbebc294bc2a43","sqlFile path=../../scripts/check_jobs.sql","","","4.33.0","dev","","7112863053"
"021-core-ubicaciones-inventario","sgbd","changelog/021-core-ubicaciones-inventario.xml","2025-09-05T22:54:27.862","36","EXECUTED","9:d1c41aee4ffb7e549986062f046583c5","sqlFile path=../../ddl/021_core_ubicaciones_inventario.sql","","","4.33.0","()","","7112863053"
"022-conteos-diarios","sgbd","changelog/022-conteos-diarios.xml","2025-09-05T22:54:27.907","37","EXECUTED","9:51aa2d07987af2fcffb0ca90af810aa1","sqlFile path=../../ddl/022_conteos_diarios.sql","","","4.33.0","()","","7112863053"
"022-conteos-diarios-proc","sgbd","changelog/022-conteos-diarios.xml","2025-09-05T22:54:27.925","38","EXECUTED","9:832942cd54bb5452f4ddfd661916cec3","sql","","","4.33.0","()","","7112863053"
"023-pendientes-vacio","sgbd","changelog/023-pendientes-vacio.xml","2025-09-05T22:54:27.972","39","EXECUTED","9:c72dfceb1731b138ab1b26521feb1508","sqlFile path=../../ddl/023_pendientes_vacio.sql","","","4.33.0","()","","7112863053"
"024-compras-ddl","sgbd","changelog/024-compras.xml","2025-09-05T22:54:28.02","40","EXECUTED","9:fec822119e323243b59a60c6925c1069","sqlFile path=../../ddl/024_compras.sql","","","4.33.0","()","","7112863053"
"024-compras-proc","sgbd","changelog/024-compras.xml","2025-09-05T22:54:28.066","41","EXECUTED","9:01bb2c5f4098d2af0fff0795187cb271","sqlFile path=../../ddl/024_compras_proc.sql","","","4.33.0","()","","7112863053"
"025-ventas-ubicacion","sgbd","changelog/025-ventas-ubicacion.xml","2025-09-05T22:54:28.119","42","EXECUTED","9:5b95cd4f667d506bd24dd0938de6ee94","sqlFile path=../../ddl/025_ventas_ubicacion.sql","","","4.33.0","()","","7112863053"
"026-caja-cuentas","sgbd","changelog/026-caja-cuentas.xml","2025-09-05T22:54:28.169","43","EXECUTED","9:47d77fb8dd202d300617a743925888f8","sqlFile path=../../ddl/026_caja_cuentas.sql","","","4.33.0","()","","7112863053"
"027-lista-precios","sgbd","changelog/027-lista-precios.xml","2025-09-05T22:54:28.222","44","EXECUTED","9:b5de9613cb55fca7cca70802628ffdaa","sqlFile path=../../ddl/027_lista_precios.sql","","","4.33.0","()","","7112863053"
"028-geo-clientes","sgbd","changelog/028-geo-clientes.xml","2025-09-05T22:54:28.271","45","EXECUTED","9:1cd4b45a1a96512b627a9ddacb98765a","sqlFile path=../../ddl/028_geo_clientes.sql","","","4.33.0","()","","7112863053"
"029-venta-idempotencia","sgbd","changelog/029-venta-idempotencia.xml","2025-09-05T22:54:28.332","46","EXECUTED","9:3839ff99efe3b0e4ec9e5456c73496b2","sqlFile path=../../ddl/29_venta_idempotencia.sql","","","4.33.0","()","","7112863053"
"030-app-context-pkg","sgbd","changelog/030-app-context.xml","2025-09-05T22:54:28.38","47","EXECUTED","9:0466594827ae946b9de804678d1f3641","sqlFile path=../../ddl/30_app_context_pkg.sql","","","4.33.0","()","","7112863053"
